value,footprint,lcsc,manufacturer,mpn,note
100nF,Capacitor_SMD:C_0402_1005Metric,C1525,Samsung Electro-Mechanics,CL05B104KO5NNNC,Auto-selected: Basic 100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
1uF,Capacitor_SMD:C_0402_1005Metric,C52923,Samsung Electro-Mechanics,CL05A105KA5NQNC,Auto-selected: Basic 1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
10uF,Capacitor_SMD:C_0805_2012Metric,C15850,Samsung Electro-Mechanics,CL21A106KAYNNNE,Auto-selected: Basic 10uF 25V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
22u 25V,Capacitor_SMD:C_1210_3225Metric,C52306,Samsung Electro-Mechanics,CL32A226KAJNNNE,Auto-selected: Extended 22uF 25V X5R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
0.6pF,Capacitor_SMD:C_0402_1005Metric,C5186863,Chinocera,HGC0402G00R6C500NTEJ,Auto-selected: Extended 0.6pF 50V C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
0.8pF,Capacitor_SMD:C_0402_1005Metric,C40459,FH (Guangdong Fenghua Advanced Tech),0402CG0R8C500NT,Auto-selected: Extended 0.8pF 50V C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
12pF,Capacitor_SMD:C_0402_1005Metric,C1547,FH (Guangdong Fenghua Advanced Tech),0402CG120J500NT,Auto-selected: Basic 12pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
LED,easyeda2kicad:LED-SMD_L3.0-W3.0_XL-3030UWC-1W-3V,C2286,Hubei KENTO Elec,KT-0603R,Auto-selected: Basic -40℃~+85℃ 1.8V~2.4V 120° 20mA 300mcd 40mW 615nm~630nm 645nm Discrete Diode Red Water Clear 0603 LED Indication - Discrete ROHS
PRTR5V0U2X,Package_TO_SOT_SMD:SOT-143,C41409257,ElecSuper,"PRTR5V0U2X,215-ES",Auto-selected: Extended -40℃~+125℃ 140W 1pF 1uA 2 20V 5V 7A 9V ESD IEC 61000-4-2、IEC 61000-4-5 Unidirectional SOT-143 ESD and Surge Protection (TVS/ESD) ROHS
XH-2P-SMD,easyeda2kicad:CONN-SMD_2P-P2.54_XH2.54-2AB,C722696,CAX,2.54-2A-WT,"Auto-selected: Extended -25℃~+85℃ 1 1x2P 2 2.54mm 2P 500mA 50V 6.1mm 7.8mm Beige LCP Surface Mount, Right Angle Tin XH SMD,P=2.54mm,卧贴 Wire To Board Connector ROHS"
2.54-3P-LT,easyeda2kicad:CONN-SMD_2.54-3P-LT,C722698,CAX,2.54-3P-LT,"Auto-selected: Extended -25℃~+85℃ 1 1x3P 2.5mm 3 3P 500mA 50V 6mm 7.9mm Beige LCP Phosphor Bronze Surface Mount,Vertical Tin XH SMD,P=2.5mm Wire To Board Connector ROHS"
SIM_Card,easyeda2kicad:SIM-SMD_SMN-303,C183629,SOFNG,SIM-004X,Auto-selected: Extended -10℃~+60℃ 1.77mm Connector and Ejector Mini-SIM Card No Card Detect Push-Pull SMD SIM Card Connectors ROHS
10uH,easyeda2kicad:IND-SMD_L4.0-W4.0,C1035,Sunlord,SDFL1608S100KTF,Auto-selected: Basic 1.85Ω 10uH 17MHz 30@2MHz 3mA ±10% 0603 Inductors (SMD) ROHS
2.2uH,easyeda2kicad:IND-SMD_L4.0-W4.0_NRS4018T,C222887,Taiyo Yuden,NRS4018T680MDGJ,"Auto-selected: Extended 1.2Ω 320mA 520mA 68uH ±20% SMD,4x4mm Power Inductors ROHS"
