Comment,Designator,Footprint,LCSC Part #
100nF,"C1,C4,C6,C8,C12,C13,C14,C15,C29,C30,C31,C32,C33",Capacitor_SMD:C_0402_1005Metric,C307331
1uF,"C2,C3,C5,C11,C24",Capacitor_SMD:C_0402_1005Metric,C52923
10uF,"C7,C16,C18,C20,C21,C22,C23",Capacitor_SMD:C_0805_2012Metric,C15850
22u 25V,"C17,C19",Capacitor_SMD:C_1210_3225Metric,C52306
0.6pF,C25,Capacitor_SMD:C_0402_1005Metric,C778333
0.8pF,C26,Capacitor_SMD:C_0402_1005Metric,C3875120
12pF,"C27,C35",Capacitor_SMD:C_0402_1005Metric,C1547
B2B-PH-SM4-TB,CN1,easyeda2kicad:CONN-SMD_B2B-PH-SM4-TB-LF-SN,C160352
LED,"D1,D6,D7,D8,D9,D10,D11,D12",easyeda2kicad:LED-SMD_L3.0-W3.0_XL-3030UWC-1W-3V,C2843891
SP3012-04UTG,D3,easyeda2kicad:UDFN-10_L2.5-W1.0-P0.50-BL,C151304
PRTR5V0U2X,D5,Package_TO_SOT_SMD:SOT-143,C2827688
SS34_C8678,"D13,D14,D15",easyeda2kicad:SMA_L4.3-W2.6-LS5.2-RD,C8678
XH-2P-SMD,J1,easyeda2kicad:CONN-SMD_2P-P2.54_XH2.54-2AB,C146125
2.54-3P-LT,J2,easyeda2kicad:CONN-SMD_2.54-3P-LT,C2681544
SIM_Card,J3,easyeda2kicad:SIM-SMD_SMN-303,C266888
10uH,"L2,L3",easyeda2kicad:IND-SMD_L4.0-W4.0,C2849472
2.2uH,"L4,L5",easyeda2kicad:IND-SMD_L4.0-W4.0_NRS4018T,C92959
4.7nH,L6,easyeda2kicad:L0402-R-RD,C86065
19-237/R6GHBHC-A01/2T,"LED1,LED2",easyeda2kicad:LED-ARRAY-SMD_4P-L1.6-W1.6-BL_1,C60105
USB_C_Plug_USB2.0,P1,easyeda2kicad:TYPE-C-SMD_TYPE-C-6P_1,C456012
BSS84,"Q1,Q2,Q4",Package_TO_SOT_SMD:SOT-23,C3018484
2N7002,"Q3,Q5,Q6",Package_TO_SOT_SMD:SOT-23,C8545
47k,R1,Resistor_SMD:R_0402_1005Metric,C25792
150k,R2,Resistor_SMD:R_0402_1005Metric,C22369540
10k,"R3,R4,R20,R22",Resistor_SMD:R_0402_1005Metric,C49330233
330,"R5,R6,R28",Resistor_SMD:R_0402_1005Metric,C25104
4.7,"R7,R8,R9,R10,R11,R12,R13,R14",Resistor_SMD:R_0402_1005Metric,C25169
5.1k,R15,Resistor_SMD:R_0402_1005Metric,C25905
22R,"R16,R17",Resistor_SMD:R_0402_1005Metric,C100318
100R,"R18,R23,R24",Resistor_SMD:R_0402_1005Metric,C25076
191k,R19,Resistor_SMD:R_0402_1005Metric,C159084
240k,R21,Resistor_SMD:R_0402_1005Metric,C64043
100k,R25,Resistor_SMD:R_0402_1005Metric,C144809
4.7k,"R26,R27",Resistor_SMD:R_0402_1005Metric,C25900
10k,RV1,easyeda2kicad:RES-ADJ-SMD_3P-L3.0-W3.8-P1.75-BR,C719176
SW_Push,SW1,easyeda2kicad:KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,C139797
Thermistor,TH1,Resistor_SMD:R_0402_1005Metric,C77131
nRF52840,U1,Package_DFN_QFN:Nordic_AQFN-73-1EP_7x7mm_P0.5mm,C190794
NRF9151-LACA-R7,U2,easyeda2kicad:LGA-113_L12.1-W11.1_NRF9151-LACA-R7,C22397843
NPM1300,U3,easyeda2kicad:BGA-35_L3.1-W2.4-R5-C7-P0.42_NPM1300-CAAA-R,C25346894
BMA400,U4,easyeda2kicad:LGA-12_L2.0-W2.0-P0.50-BL,C437655
BWU.FL-IPEX1,"U6,U10",easyeda2kicad:IPEX-SMD_BWIPX-1-001E,C5137195
AN6520-245,U7,easyeda2kicad:ANT-SMD_L6.5-W2.0,C239238
SEN0348_CONN,U8,easyeda2kicad:CONN-SMD_SM06B-SRSS-TB-LF-SN,C160405
SM04B-SRSS-TB,U9,easyeda2kicad:CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404
HX PZ1.27-2x5P TP,"U11,U14",easyeda2kicad:HDR-SMD_10P-P1.27-V-M-R2-C5-LS5.5_1,C41376037
MT3608,"U12,U13",easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C84817
32MHz,Y1,easyeda2kicad:CRYSTAL-SMD_4P-L2.0-W1.6-BL,C187794
